id,question,rewritten_question,context,answer,strategy
734,"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?","Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.","Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.  He was the fifth of nine children, five sons and four daughters.  He was named Stephen Grover in honor of the first pastor of the First Presbyterian Church of Caldwell, where his father was pastor at the time.  From 1841 to 1850, he lived in Fayetteville, New York  A Walking Tour of Fayetteville , but as the church frequently transferred its ministers, the family moved many times, mainly around central and southern New York State.",yes,384d_enhanced_top1
735,"Was Grover Cleveland elected Sheriff of Erie County, New York?","When was Grover Cleveland elected Sheriff of Erie County, New York?","In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",1871,384d_enhanced_top1
736,Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,The U.S. $ 1000 bill from 1928 to 1946 was what?,Cleveland's portrait was on the U.S. $1000 bill from 1928 to 1946. He also appeared on a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914.,a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914,384d_enhanced_top1
737,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,yes,384d_enhanced_top1
738,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,Did the Department of the Interior charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"President Cleveland angered railroad investors by ordering an investigation of western lands they held by government grant, involving the return of 81,000,000 acres (328,000 kmÂ²) which is the approximately equivalent to the areas of N.Y., N.J., Pa., Dela., Md., and Va.,combined. The Department of the Interior charged that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements. The lands were forfeited and became part of public domain.",yes,384d_enhanced_top1
739,"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?","Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- remove his upper left jaw and portions of his hard palate ?","Under the guise of a vacation cruise, Cleveland, accompanied by lead surgeon Dr. Joseph Bryant, left for New York. Bryant, joined by his assistants Dr. John F. Erdmann, Dr. W.W. Keen Jr., Dr. Ferdinand Hasbrouck (dentist and anesthesiologist), and Dr. Edward Janeway, operated aboard E. C. Benedict's yacht Oneida as it sailed off Long Island. The surgery was conducted through the President's mouth, to avoid any scars or other signs of surgery. The team, sedating Cleveland with nitrous oxide (laughing gas), removed his upper left jaw and portions of his hard palate. The size of the tumor and the extent of the operation left Cleveland's mouth severely disfigured. During another surgery, an orthodontist fitted Cleveland with a hard rubber prosthesis that corrected his speech and covered up the surgery.",yes,384d_enhanced_top1
740,He became chief engineer in the Department of Bridges and Highways in what year?,In what year did he become chief engineer in the Department of Bridges and Highways?,"In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways.",1894,384d_enhanced_top1
741,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,"In 1896, while investigating phosphorescence in uranium salts, Becquerel accidentally discovered radioactivity. Investigating the work of Wilhelm Conrad RÃ¶ntgen, Becquerel wrapped a fluorescent substance, potassium uranyl sulfate, in photographic plates and black material in preparation for an experiment requiring bright sunlight. However, prior to actually performing the experiment, Becquerel found that the photographic plates were fully exposed. This discovery led Becquerel to investigate the spontaneous emission of nuclear radiation.",Becquerel found that the photographic plates were fully exposed,384d_enhanced_top1
742,Is it true that he married louise désirée lorieux in 1890?,Is it true that he married Louise désirée lorieux in 1890?,"On September 19, 1648, after many months of Pascal's friendly but insistent prodding, Florin PÃ©rier, husband of Pascal's elder sister Gilberte, was finally to carry out the fact finding mission vital to Pascal's theory. The account, written by PÃ©rier, reads:",no,384d_enhanced_top1
743,Is it true that he shared the nobel prize in physics?,Is it true that he shared the Nobel Prize in Physics?,"In 1903, he shared the Nobel Prize in Physics with Pierre and Marie Curie ""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"".",yes,384d_enhanced_top1
744,When did he marry louise désirée lorieux?,When did he marry Louise désirée lorieux?,"Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ãcole Polytechnique and engineering at the Ãcole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.",1890,384d_enhanced_top1
745,Was Becquerel elected Permanent Secretary of the Académie des Sciences?,When was Becquerel elected Permanent Secretary of the Académie des Sciences?,"In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.",1908,384d_enhanced_top1
